id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
1698,YSK MAZEL LLC,MWC CF SPV LLC,516 WINSTON AVE,BALTIMORE,2025-03-17,109000,120000
1699,SUN OF MAY LLC,MARYLAND HARD MONEY LENDERS II,1106 S CAREY ST,BALTIMORE,2025-03-17,115000,150000
1700,VENTURE HOLDINGS MD 3 LLC,PIMLICO GROUP LLC,3621 RAVENWOOD AVE,BALTIMORE,2025-03-17,173000,200000
1701,GMK PROPERTIES 1 LLC,PIMLICO GROUP LLC,3920 WILKE AVE,BALTIMORE,2025-03-17,120000,145000
1702,PIKESVILLE ONE LLC,PROSPERITY HOME MORTGAGE LLC,8037 BAXTER ST,DERWOOD,2025-03-17,617500,369625
1703,PIKESVILLE ONE LLC,PROSPERITY HOME MORTGAGE LLC,16105 CONNORS WAY,DERWOOD,2025-03-17,600000,330000
1704,PIKESVILLE ONE LLC,PROSPERITY HOME MORTGAGE LLC,16109 CONNORS WAY,DERWOOD,2025-03-17,600000,330000
1705,MD FIXER UPPER LLC,BAY PRIVATE CAPITAL LLC,217 CADLE AVE,EDGEWATER,2025-03-17,193000,262650
1706,MP GREEN MANAGEMENT COMPANY INC,MD PRIVATE LENDER LLC,504 KENORA DR,MILLERSVILLE,2025-03-17,297000,350000
1707,ANDY SCHWEIGMAN GROUP LLC,JUST IN TIME FINANCE LLC,1079 NOTLEY CT,PASADENA,2025-03-17,230000,250000
1708,OMEGA HOME SOLUTIONS LLC,IC CAPITAL LLC,7631 OLD BATTLE GROVE RD,DUNDALK,2025-03-17,208000,280000
1709,RICK BARR PROPERTIES LLC,SHORE UNITED BANK NA,7765 CHAPEL POINT RD,PORT TOBACCO,2025-03-17,235000,164500
1710,HOUSE BUYERS OF AMERICA INC,COMMERCIAL LENDING LLC,2700 WILLOW OAK DR APT 111B,CAMBRIDGE,2025-03-17,280000,280000
1711,GEMHOMEPARTNERS LLC,QUANTA FINANCE INC,211 SUMMIT HALL RD,GAITHERSBURG,2025-03-17,400000,400000
1712,OS CONSULT LLC,KIAVI FUNDING INC,10126 RENFREW RD,SILVER SPRING,2025-03-17,450000,432100
1713,LM TREE LLC,KCS LENDING LLC,1207 BLITHE CT,UPPER MARLBORO,2025-03-17,250000,250000
1714,THORNTON PROPERTIES LLC,BELL ISLAND MORTGAGE INC,26890 MOUNT VERNON RD,PRINCESS ANNE,2025-03-17,45000,85000
1715,BUTTS PROPERTIES LLC,RANKIN KELLEY,118 FULTON ST,HANCOCK,2025-03-17,100000,120000
1716,BUTTS PROPERTIES LLC,RANKIN KELLEY,110 W HIGH ST,HANCOCK,2025-03-17,10000,160000
1717,OLANI REALTY LLC,COMMERCIAL LENDER LLC,805 MOHAWK AVE,SALISBURY,2025-03-17,100000,154000
1718,THEMELIOS PROPERTIES LLC,JIMI-JAM ENTERPRISES LLC,1623 E 33RD ST,BALTIMORE,2025-03-17,125000,185000
1719,ASHAEL PROPERTY SOLUTIONS LLC,RCN CAPITAL LLC,2116 E HOFFMAN ST,BALTIMORE,2025-03-17,85000,137588
1720,ART OF LIVING & DESIGN LLC,KIAVI FUNDING INC,3717 FALLS RD,BALTIMORE,2025-03-17,172000,206800
1721,CMB INVESTMENTS INC,ORRSTOWN BANK,1322 N STOCKTON ST,BALTIMORE,2025-03-17,111000,109200
1722,INTEGRITY HOME TEAM LLC,LENDSURE MORTGAGE CORP,4002 BELVIEU AVE,BALTIMORE,2025-03-17,285000,228000
1723,RJ REALTY LLC,HAYMARKET INSURANCE COMPANY,329 E UNIVERSITY PKWY,BALTIMORE,2025-03-17,235000,296000
1724,AK HOMES LLC,MORTGAGE WAREHOUSE LLC,3701 BARTWOOD RD,BALTIMORE,2025-03-15,169100,160000
1725,PNB MANAGEMENT LLC,COLLEGIATE CAPITAL ADVISORS LL,6354 LOUDON AVE,ELKRIDGE,2025-03-15,385000,308000
1726,WS CONSTRUCTION LLC,RIGHT KEY FINANCIAL LLC,1604 CHARLOTTE AVE,BALTIMORE,2025-03-14,150000,150000
1727,NAVB LLC,DOMINION FIN'L SERVICES LLC,6010 HENDERSON AVE,BALTIMORE,2025-03-14,256500,256500
1728,CRABTOWN CAPITOL LLC,TRUSTED LENDING GROUP LLC,2628 W COLD SPRING LN,BALTIMORE,2025-03-14,72000,180000
1729,NCA LLC,RFLF 4 LLC,3429 6TH ST,BROOKLYN,2025-03-14,110000,139000
1730,ARISHA CAPITAL LLC,KIAVI FUNDING INC,1601 BURNWOOD RD,BALTIMORE,2025-03-14,180000,204000
1731,2 BROTHERS PROPERTIES LLC,BELTWAY ASSETS LLC,4828 BEAUFORT AVE,BALTIMORE,2025-03-14,55000,100000
1732,MOALES PROPERTY GROUP LLC,KIAVI FUNDING INC,5947 PRINCE GEORGE ST,GWYNN OAK,2025-03-14,210000,268500
1733,LAUCHMAN REAL ESTATE CORP,CHESAPEAKE LENDING LLC,3113 CRESSON AVE,WINDSOR MILL,2025-03-14,240000,305000
1734,RRIG CORPORATION,MGR PROPERTY HOLDINGS LLC,3605 RUSTY ROCK RD,RANDALLSTOWN,2025-03-14,140000,144000
1735,BTI 1179 LLC,TVC FUNDING VI LLC,9348 TOWN PLACE DR,OWINGS MILLS,2025-03-14,162379,190000
1736,CD INVESTMENTS WEST LLC,M&G FUNDING LLC,133 WIMBLEDON LN,OWINGS MILLS,2025-03-14,175000,247500
1737,PENINSULA PROPERTY MANAGEMENT LLC,BAY PRIVATE CAPITAL LLC,8034 LANSDALE RD,BALTIMORE,2025-03-14,150000,164800
1738,PREMIER VACATION PROPERTIES LLC,PREMIER VENTURING LLC,2231 GRAYTHORN RD,MIDDLE RIVER,2025-03-14,170000,172024
1739,7907 RIDGLEY LLC,QUBERA CAPITAL LLC,7621 E BATTLE GROVE RD,DUNDALK,2025-03-14,125000,160000
1740,27386 PATRICIA COURT LLC,HEBRON SAVINGS BANK,27386 PATRICIA CT,FEDERALSBURG,2025-03-14,114000,114000
1741,ELITE BASEMENTS LLC,BANK OF CLARKE COUNTY,3814 LIGHT ARMS PL,WALDORF,2025-03-14,230000,172500
1742,VMS PROPERTIES LLC,W F CHESLEY COMPANIES LLC,2963 MARSH HAWK DR,WALDORF,2025-03-14,136729,155000
1743,REAVERS REAL PROPERTIES LLC,WOODSBORO BANK,21 ROBINDALE DR,EMMITSBURG,2025-03-14,279300,184973
1744,MORPHIX HOMES INC,KIAVI FUNDING INC,226 MOUNT ROYAL AVE,ABERDEEN,2025-03-14,272000,295700
1745,ROCO GROUP LLC,AU HOLDINGS LLC,2215 AQUILAS DELIGHT,FALLSTON,2025-03-14,335000,400000
1746,WALNUT TREE PROPERTY MANAGEMENT LLC,ORRSTOWN BANK,724 WATER ST,HAVRE DE GRACE,2025-03-14,385000,288750
1747,BUILD IT BETTER LLC,MONUMENT CITY CAPITAL LLC,1427 PERRYWOOD DR,ABERDEEN,2025-03-14,216101,306101
1748,ERB PROPERTIES LLC,CORNERSTONE CAPITAL LLC,6521 MARYWOOD RD,BETHESDA,2025-03-14,1100000,1450000
1749,AGAPE WORD CENTER CHURCH INTERNATIONAL INC,GRANT COUNTY BANK,7201 BROOKLYN BRIDGE RD,LAUREL,2025-03-14,590000,442500
1750,MAPLE HOUSING LLC,LIMA ONE CAPITAL LLC,7818 ALLENDALE DR,HYATTSVILLE,2025-03-14,181000,220751
1751,SINGH REAL ESTATE LLC,DOMINION FIN'L SERVICES LLC,217 DATELEAF AVE,CAPITOL HEIGHTS,2025-03-14,165000,148500
1752,KELHAN INVESTMENTS LLC,BLADES DORSEY,406 E VINE ST,SALISBURY,2025-03-14,80000,140000
1753,SHELBY COMPANY LLC,J SQUARED REAL ESTATE SERVICES,2631 E CHASE ST,BALTIMORE,2025-03-14,30000,43250
1754,PERSPECTIVES PROPERTY MANAGEMENT LLC,LOAN FUNDER LLC,3032 HANLON AVE,BALTIMORE,2025-03-14,135000,175000
1755,LUCA INVESTMENTS LLC,INGE LLC,802 N FULTON AVE,BALTIMORE,2025-03-14,125000,110000
1756,1811 DUKELAND LLC,BREEZEBLOCK CAPITAL LLC,1811 N DUKELAND ST,BALTIMORE,2025-03-14,23100,120000
1757,MOTION PROPERTIES LLC,LIFE INVESTMENTS LLC,3905 CRANSTON AVE,BALTIMORE,2025-03-14,135000,195000
1758,ASCEND VENTURES LLC,KIAVI FUNDING INC,2837 WOODBROOK AVE,BALTIMORE,2025-03-14,95000,134900
1759,GOLDEN PROPERTIES AESK LLC,CITADEL SERVICING CORPORATION,712 DOLPHIN ST,BALTIMORE,2025-03-14,197500,250000
